report#,token,tag
1,di,O
1,idolasemarang,O
1,di,O
1,dishubkotasmg,O
1,pak,O
1,",",O
1,tolong,O
1,setiap,O
1,brt,O
1,di,O
1,beri,O
1,cctv,O
1,",",O
1,karena,O
1,banyak,O
1,copet,B-DESC
1,berkeliaran,O
1,di,O
1,brt,O
1,...,O
1,#,O
1,laporhendi,O
2,kepada,O
2,yang,O
2,terhormat,O
2,pemerintah,O
2,provinsi,O
2,dki,B-LOCATION
2,jakarta,L-LOCATION
2,kami,O
2,ingin,O
2,menanyakan,O
2,perihal,O
2,kepastian,O
2,pembuatan,O
2,saluran,O
2,air,O
2,warga,O
2,rt,B-LOCATION
2,4,I-LOCATION
2,rw,I-LOCATION
2,6,I-LOCATION
2,pulogebang,I-LOCATION
2,cakung,I-LOCATION
2,jakarta,I-LOCATION
2,timur,L-LOCATION
2,",",O
2,dikarenakan,O
2,saluran,O
2,meluap,O
2,sehingga,O
2,terjadi,O
2,banjir,O
2,",",O
2,namun,O
2,sampai,O
2,saat,O
2,ini,O
2,masih,O
2,belum,O
2,ada,O
2,kejelasannya,O
2,",",O
2,mohon,O
2,pihak,O
2,terkait,O
2,segera,O
2,menindaklanjutinya,O
2,.,O
2,terima,O
2,kasih,O
2,.,O
3,pohon,B-DESC
3,tumbang,L-DESC
3,di,O
3,jalan,B-LOCATION
3,dr.rum,I-LOCATION
3,no,I-LOCATION
3,14,L-LOCATION
3,",",O
3,perlu,O
3,penanganan,O
3,segera,O
3,.,O
4,kepada,O
4,",",O
4,yang,O
4,terhormat,O
4,.,O
4,dirjen,O
4,pemasyarakatan,O
4,.,O
4,dh,O
4,.,O
4,mohon,O
4,dapat,O
4,memindahkan,O
4,kplp,O
4,.,O
4,lupa,O
4,.,O
4,wanita,O
4,tomohon,U-LOCATION
4,sulawesi,B-LOCATION
4,utara,L-LOCATION
4,karena,O
4,sangat,O
4,kejam,O
4,.,O
4,sering,O
4,.mengancam,O
4,",",O
4,membentak,O
4,.,O
4,narapidana,O
5,kelurahan,O
5,sawangan,O
5,kota,O
5,depok,O
5,",",O
5,saya,O
5,selaku,O
5,warga,O
5,setempat,O
5,(,O
5,dekat,O
5,gerbang,O
