report,label
"di idolasemarang di dishubkotasmg pak , tolong setiap brt di beri cctv , karena banyak copet berkeliaran di brt ... # laporhendi",Crime
"kepada yang terhormat pemerintah provinsi dki jakarta kami ingin menanyakan perihal kepastian pembuatan saluran air warga rt 04 rw 06 pulogebang cakung jakarta timur , dikarenakan saluran meluap sehingga terjadi banjir , namun sampai saat ini masih belum ada kejelasannya , mohon pihak terkait segera menindaklanjutinya . terima kasih .",Natural Disaster
"pohon tumbang di jalan dr.rum no 14 , perlu penanganan segera .",Natural Disaster
"kepada , yang terhormat . dirjen pemasyarakatan . dh . mohon dapat memindahkan kplp . lupa . wanita tomohon sulawesi utara karena sangat kejam . sering .mengancam , membentak . narapidana",Crime
"kelurahan sawangan kota depok , saya selaku warga setempat ( dekat gerbang hijau disamping polsubsektor sawangan ) memohon diperketatnya keamanan di malam hari , dikarenakan belakangan ini sering terjadi penggunaan serta tawuran petasan antar anak-anak .",Crime
"pohon hampir tumbang yang bersinggungan dengan kabel listrik tepatnya di kabupaten nganjuk , kecamatan sukomoro , jatim timur pom bensin sukomoro selatan jalan mohon untuk segera di tindak lanjuti mengingat sekarang adalah musim penghujan yang rawan angin besar yang dapat merobohkan pohon tersebut terima kasih",Natural Disaster
"pada hari minggu , 8 november 2020 , di komplek vila norin , rt01/04 ciganjur , cipedak , jagakarsa , jakarta selatan , saat hujan deras kurang lebih 30 menit terjadi banjir kembali . daerah yang lebih rendah dari kami bahkan tidak kebanjiran . karena adanya dinding sungai yang lebih tinggi , namun bagi kami dinding tersebut menahan air dilingkungan kami . lingkungan kami seperti kolam kalau banjir . kami mohon bisa segera dilakukan realisasi perbaikan drainase dilingkungan kami supaya tidak terjadi banjir lagi . ini pengaduan saya yang ke 5 kali . pelaporan ini penting untuk update tentang kondisi terkini tentang banjir . atas perhatiannya terima kasih",Natural Disaster
"ada pohon tumbang yang menimpa kabel telekomunikasi di jalan . raya sinabung 18 , kelurahan . gunung , kecamatan . kebayoran baru , jaksel . saya sudah mencoba hubungi petugas pln , tapi ternyata setelah dicek petugas , kabel tersebut adalah kabel jaringan milik telekomunikasi , dan saya harus membuat laporan kembali . mohon bantuannya agar dapat segera ditangani , karena takut membahayakan area sekitar .",Natural Disaster
"telah terjadi bencana alam banjir dan tanah longsor di smp satu atap negeri 2 sianjur mulamula yang menghancurkan laboratorium ipa dan menggenangi rumah dinas guru dengan lumpur pada hari rabu tanggal 7 maret 2018 pukul 23.00 wib . saya selaku operator sekolah sudah mensinkronisasikan kondisi sarpras yang rusak pada hari ini kamis , tanggal 8 maret 2018 sekitar pukul 19.50 wib . mohon diperhatikan kesejahteraan kami guru yang mengajar di tempat ini karena tempat ini terpencil dan rawan bencana . dari tahun 2015 saya bekerja disini belum pernah ada tunjangan terpencil/rawan bencana turun untuk guru disini . sedangkan biaya transportasi kesini sangat mahal.gaji kami guru-guru habis hanya untuk biaya transportasi ke kabupaten untuk pengurusan administrasi guru . mohon untuk segera ditindak lanjuti . untuk kali ini paling tidak kami berharap santunan sosial bisa turun untuk masing-masing guru jika tunjangan terpencil dan rawan bencana masih belum bisa turun juga . hanya itu harapan penghiburan kami yang mengajar di tempat terpencil dan rawan bencana ini",Natural Disaster
"saya ingin bertanya mengenai kegiatan ospek yang ada di perguruan tinggi . mengapa sampai saat ini kegiatan ospek tersebut selalu berhubungan dengan kekerasan , penindasan dan pelecehan terhadap mahasiswa baru yang ingin menuntut ilmu ? bahkan di salah satu politeknik negeri yang ada di balikpapan masih ada tindakan-tindakan di dalam kegiatan tersebut yang bersifat menindas , melecehkan serta semena-mena yang dilakukan oleh para senior . jika hal seperti ini terus berlangsung , maka akan banyak mahasiswa yang merasa tertindas dan terintimidasi . bahkan beberapa mahasiswa baru ada yang jatuh sakit dan sampai jatuh pingsan karena selalu dijemur di bawah terik sinar matahari dan kegiatan-kegiatan lainnya . saya mohon agar hal seperti ini segera ditindaklanjuti , agar para siswa dan mahasiswa baru tidak merasa takut saat baru masuk ke sekolah ataupun perguruan tinggi . terima kasih .",Crime
"rumah kami mengalami musibah kebakaran tanggal 19 september 2019. sekitar 2 minggu lalu kami meminta untuk aliran listrik kembali dipulihkan oleh pln lewat telepon 123. tapi sampai saat ini , belum ada satupun petugas yang datang untuk memeriksa . sudah 4 kali laporan dilayangkan . berikut nomor laporannya : 21ccs9s , a1cmxne , e1crzqy , e1csame . mohon bantuan bapak ibu dari pihak terkait untuk kami mendapatkan kejelasan kenapa belum datang juga petugas pln .",Fire
"saya ingin melaporkan , tolong keamanan di seluruh bus transjakarta ditingkatkan karena mulai banyak pencopet yang masuk . terima kasih .",Crime
"selamat pagi , saya mau melaporkan 2 hal . yang pertama keadaan jalan yang rusak di beberapa di daerah jalan karbela timur , setiabudi , kuningan , dekat rumah sakit mata aini . jalan sudah tidak pernah di asli tetapi palsu sejak 10 tahun lebih , keadaan jalan sudah rusak , bahkan saya lihat yang di asli tetapi palsu jalan gang2 kecil yang belum rusak . hal kedua , tolong dibuatkan bumper speed atau polisi tidur di jalan karbela timur , hal ini dikarenakan banyak kendaraan yang kebut sesuka hati , terutama motor . karena lingkungan banyak pejalan kaki dan anak2 . dan sering kali terjadi penjambretan atau copet yang menggunakan motor karena jalan track lurus yang memudahkan penjambret melarikan diri , saya berharap dengan dibuatkan bumper speed dapat mengurangi kendaraan yang kebut dan tindak kejahatan . saya sebagai warga dki jakarta sangat peduli akan hal ini , semoga pemerintah dapat segera merealisasikannya . atas perhatian dan kerja samanya saya ucapkan banyak terima kasih .",Crime
ada pohon tumbah di dago atas simpang di indomaret jalan dago 298 bandung kena kabel listrik ketahan mobil truck,Natural Disaster
"saya lita , saya salah satu kerabat dari keluarga pelapor atas nama reza desita yang melaporkan bahwa salah satu dari anggota keluarganya melakukan tindak kekerasan yang hampir sering terjadi terhadap keluarga lainnya . informasi yang di dapat keluarga dari saudari reza desita yang di laporkan ini mengalami gangguan sikis dan mental yang terjadi , kejadian yang sering di lakukan yaitu tindak emosional yang tidak stabil sehingga terjadi tindak cekcok dan ada beberapa tindak kekerasan lain seperti pelemparan benda tumpul , perusakan di lingkungan warga dan perusakan barang² di dalam rumah . pihak dari keluarga yang terkait sudah berusaha untuk mencoba mengobati ke pak ustad untuk di ruqyah dan ke puskesmas . untuk berobat kerumah sakit keluarga memiliki kendala terhadap biaya . jadi saudari reza desita memohon untuk bantuan dari pemerintah provinsi terkait untuk bantuan penanganan terhadap saudarinya tersebut . karena ini sudah membuat resah keluarga yang menjadi korban dan lingkungan sekitar .",Crime
"tolong film dilan 1991 dihentikan penayangan nya karena banyak yang membawa anak kecil di bawah umur untuk menonton . film nya sangat tidak mendidik . adegan kekerasan geng motor serang , cium perempuan secara paksa , mesra mesraan bukan muhrim .",Crime
"saya meminjam uang secara online di aplikasi dana cepat , bagian petir dompet dan dana pop . jangka waktu pinjaman sesuai perjanjian di aplikasi 7 hari . namun yang menjadi masalah : 1. saat pinjaman memasuki hari ke 5 , debt collector sdh menangih melalui telpon dengan berbagai ancaman , kekerasan , kata-kata kasar dan tidak sopan . alasan pihak debt colector bahwa jangka waktu pinjaman hanya 5 hari , padahal sesuai perjanjian adalah 7 hari sebagaimana tertera di aplikasi . 2. saat saya terlambat membayar pinjaman 1 hari , identitas saya sdh dipublikasikan ke kontak hp di media whatsapp , padahal saya sdh berusaha mengajukan proses negosiasi hutang , namun nomor telepon cs yang tercantum di aplikasi tidak aktif , meskipun sdh dicoba kembali di hari dan jam yang berbeda 3. besaran bunga yang tercantum di aplikasi tidak sama dengan jumlah tagihan yang muncul di aplikasi setelah proses transfer uang ke rekening . 4. setelah saya telusuri , ternyata aplikasi dana cepat adalah pembiayaan ilegal , tidak terdaftar di ojk dan afpi . memohon dengan sangat kepada pihak ojk untuk memblokir aplikasi tersebut , dan menghapus seluruh data2 kreditur di aplikasi tersebut . terima kasih",Crime
"kepada dinas lingkungan hidup kabupaten ponorogo melaporkan , adanya pohon tumbang di jalan . raden saleh , kecamatan . ponorogo , kabupaten . ponorogo . mohon segera ditangani terimakasih~",Natural Disaster
