report_num,report
1,bulungan
1,terjadi
1,kekerasan
1,dalam
1,rumah
1,tangga
1,di
1,kec
1,.
1,tanjung
1,selor
2,nama
2,saya
2,:
2,wina
2,asdiana
2,(
2,bertempat
2,tinggal
2,di
2,bekasi
2,)
2,melaporkan
2,untuk
2,warga
2,bandung
2,yang
2,telah
2,menelantarkan
2,istri
2,dan
2,anak
2,","
2,tidak
2,memberi
2,nafkah
2,serta
2,tindak
2,kdrt
2,dan
2,lari
2,dari
2,tanggung
2,jawab
2,hutang2.nama
2,:
2,gian
2,hardyman
2,kusumah
2,nik
2,:
2,327304070484004
2,alamat
2,:
2,jl
2,.
2,cetarip
2,barat
2,rt
2,004/007
2,kel
2,.
2,kopo
2,kec
2,.
2,bojongloa
2,kaler
2,.
2,saya
2,mohon
2,dibantu
2,untuk
2,saudara
2,gian
2,di
2,tegur
2,melalui
2,rt
2,rw
2,agar
2,menyelesaikan
2,smuanya
2,.
2,saya
2,sudah
2,menghubungi
2,orang
2,tua/saudara/kerabatnya
2,","
2,akan
2,tetapi
2,tidak
2,pernah
2,di
2,response
2,oleh
2,mereka
2,.
2,saya
2,mohon
2,bantuannya
2,segera
2,.
2,terima
2,kasih
2,.
3,hai
3,orang
3,orang
3,baik
3,","
3,saya
3,ibu
3,dari
3,2
3,anak
3,balita
3,usia
3,2
3,dan
3,3
3,tahun
3,.
3,suami
3,saya
3,kerap
3,sekali
3,kdrt
3,di
3,depan
3,anak2
3,sehingga
3,saya
3,takut
3,akan
3,menggaggu
3,psikologis
3,anak
3,anak
3,saya..
3,3
3,tahun
3,usia
3,pernikahan
3,dari
3,awal
3,memang
3,sudah
3,di
3,penuhi
3,dengan
3,pertengkaran2
3,hebat..
3,tapi
3,di
3,setiap
3,pertengkaran
3,itu
3,","
3,mulanya
3,awalnya
3,memang
3,dari
3,pihak
3,suami
3,.
3,suami
3,main
3,perempuan
3,","
3,main
3,judi
3,online
3,sampai
3,kami
3,kehabisan
3,uang
3,untuk
3,sekedar
3,makan
3,.
3,3
3,tahun
3,sudah
3,saya
3,berusaha
3,sekuat
3,tenaga
3,dan
3,kemampuan
3,saya
3,untuk
3,bertahan
3,demi
3,anak
3,anak
3,.
3,tapi
3,semakin
3,lama
3,bukan
3,perubahan
3,yang
3,baik
3,yang
3,terjadi
3,melainkan
3,sikap
3,suami
3,semakin
3,buruk
3,.
3,semakin
3,berani
3,memukuli
3,saya
3,di
3,luar
3,rumah
3,.
3,semakin
3,berani
3,mengancam
3,saya
3,akan
3,memisahkan
3,saya
3,dengan
3,anak
3,pertama
3,saya
3,.
3,singkat
3,cerita
3,","
3,saya
3,sudah
3,benar2
3,tidak
3,kuat
3,untuk
3,menahan
3,itu
3,semua
3,.
3,saya
3,minta
3,pisah
3,.
3,kali
3,ini
3,saya
3,merelakan
3,anak
3,pertama
3,saya
3,di
3,bawa
3,oleh
3,nya
3,.
3,3
3,tahun
3,menikah
3,ini
3,saya
3,memang
3,murni
3,ibu
3,rumah
3,tangga
3,dan
3,bergantung
3,pada
3,nafkah
3,suami
3,.
3,sehingga
3,dalam
3,keadaan
3,seperti
3,ini
3,membuat
3,saya
3,bingung
3,saya
3,harus
3,kemana
3,untuk
3,tinggal
3,.
3,bisakah
3,saya
3,menerima
3,bantuan
3,?
3,untuk
3,sekedar
3,saya
3,tinggal
3,dengan
3,anak
3,laki
3,laki
3,saya
3,usia
3,2
3,tahun
3,?
3,saya
3,berharap
3,sekali
3,mendapat
3,uluran
3,tangan
3,orang
3,orang
3,baik..
3,saya
3,tidak
3,punya
3,siapa2..
3,terima
3,kasih
4,bapak
4,kami
4,najib
4,s.e
4,menjual
4,rumah
4,warisan
4,almarhumah
4,ibu
4,kami
4,secara
4,paksa
4,.
4,lebih
4,jauh
4,lagi
4,","
4,dari
4,(
4,saya
4,)
4,balita
4,melakukan
4,kdrt
4,bahkan
4,percobaan
4,pembunuhan
4,.
4,dia
4,pergi
4,entah
4,kemana
4,.
4,harap
4,segera
4,ditindak
4,lanjuti
4,!
4,jl
4,.
4,tembus
4,mantuil
4,(
4,komplek
4,perumahan
4,wengga
4,)
4,","
4,blok
4,.
4,j
4,no.173
4,","
4,kelayan
4,sel.
4,","
4,kec
4,.
4,banjarmasin
4,sel.
4,","
4,banjar
4,","
4,kalimantan
4,selatan
4,70246
4,.
5,selamat
5,siang
5,yang
5,terhormat
5,bpk/ibu
5,saya
5,mau
5,melapor
5,laki2
5,yang
5,merupakan
5,bapak
5,anak
5,sy
5,","
5,tapi
5,tidak
5,mau
5,kasih
5,surat
5,resmi
5,menikah
5,","
5,akta
5,anak
5,saya
5,adalah
5,“
5,anak
5,seorang
5,ibu
5,”
5,","
5,dan
5,kakak
5,hanya
5,ada
5,saya
5,dan
5,anak
5,sy
5,.
5,selama
5,3th
5,saya
5,mengalami
5,tindakan
5,abusive
5,mulai
5,dari
5,fisik
5,","
5,verbal
5,","
5,financial
5,","
5,mental
5,dan
5,emosi
5,.
5,sd
5,saat
5,ini
5,saya
5,sudah
5,pergi
5,menjauh
5,tetapi
5,ybs
5,tetap
5,datang
5,ke
5,tempat
5,sy
5,","
5,dengan
5,berbagai
5,alasan
5,mengganggu
5,ketenangan
5,hidup
5,saya
5,dan
5,anak
5,sy
5,.
5,saya
5,takut
5,karena
5,dia
5,sering
5,bertindak
5,anarkis
5,","
5,tidak
5,jarang
5,memukul
5,","
5,membentak
5,","
5,memaki
5,.
5,dan
5,dari
5,dulu
5,sering
5,mengancam
5,“
5,akan
5,ambil
5,anak
5,saya
5,dan
5,tidak
5,akan
5,ketemu
5,smpai
5,saya
5,mati
5,”
5,selalu
5,mengancam
5,“
5,akan
5,ambil
5,anak
5,sy
5,”
5,yang
5,mn
5,jelas2
5,itu
5,adalah
5,di
5,akta
5,lahir
5,“
5,anak
5,dari
5,seorang
5,ibu
5,”
5,yaitu
5,sy
5,.
5,mohon
5,bantuanya
5,.
5,terimakasih
5,.
6,saya
6,mendapat
6,penganiayaan
6,dari
6,adik
6,kandung
6,saya
6,tepat
6,pada
6,jam
6,11:30
6,am
6,sebelum
6,sholat
6,jum'at
6,","
6,kejadian
6,berawal
6,karena
6,saya
6,tidak
6,terima
6,anak
6,saya
6,dibuat
6,menangis
6,oleh
6,adik
6,saya
6,","
6,lalu
6,saya
6,terkejut
6,dan
6,emosi
6,mendengar
6,suara
6,tangisan
6,anak
6,saya
6,yang
6,berusia
6,5
6,tahun
6,.
6,sayapun
6,marah
6,akan
6,tetapi
6,yang
6,si
6,adik
6,ini
6,bahkan
6,menyaci
6,maki
6,saya
6,","
6,saya
6,tidak
6,terima
6,lalu
6,saya
6,menghampiri
6,dia
6,","
6,dia
6,bahkan
6,semakin
6,kasar
6,dan
6,membully
6,saya
6,","
6,ketika
6,saya
6,mau
6,membalas
6,","
6,bahkan
6,badan
6,saya
6,digebuk
6,","
6,dan
6,di
6,keroyok
6,dengan
6,adik
6,lelaki
6,saya
6,","
6,di
6,cekik
6,.
6,saya
6,membalas
6,menerjang
6,bahkan
6,kepala
6,saya
6,diputar
6,hingga
6,badan
6,saya
6,terhempas
6,dan
6,menyebabkan
6,mata
6,sebelah
6,kiri
6,saya
6,menjadi
6,susah
6,untuk
6,melihat
6,.
7,lokasi
7,jalan
7,pekapuran
7,ii
7,raya
7,","
7,kelurahan
7,tanah
7,sereal
7,","
7,kecamatan
7,tambora
7,","
7,jakarta
7,barat
7,","
7,dari
7,area
7,belakang
7,sekolah
7,bhinneka
7,tunggal
7,ika
7,hingga
7,depan
7,gang
7,petak
7,serani
7,ii
7,.
7,sejak
7,tanggal
7,13
7,april
7,2021
7,","
7,jam
7,2
7,pagi
7,","
7,mulai
7,ada
7,gerombolan
7,berandalan
7,yang
7,menyusuri
7,jalanan
7,sembari
7,membawa
7,kaleng
7,rombeng
7,ditabuh-tabuh
7,dan
7,berteriak-teriak
7,sahur
7,","
7,padahal
7,gerombolan
7,berandalan
7,bukan
7,mengingatkan
7,untuk
7,sahur
7,tapi
7,untuk
7,mengganggu
7,istirahat
7,warga
7,sekitar
7,.
7,selain
7,menciptakan
7,keonaran
7,","
7,hingga
7,jam
7,6
7,pagi
7,","
7,juga
7,memainkan
7,petasan
7,","
7,balapan
7,sepeda
7,dan
7,juga
7,terus-menerus
7,berteriak-teriak
7,tidak
7,jelas
7,artinya
7,","
7,diselingi
7,dengan
7,umpatan
7,kata-kata
7,kotor
7,.
7,apakah
7,sahur
7,sekarang
7,berarti
7,anak-anak
7,harus
7,main
7,lempar
7,petasan
7,dan
7,mengumpat
7,kata-kata
7,kotor
