report#,token
1,di
1,idolasemarang
1,di
1,dishubkotasmg
1,pak
1,","
1,tolong
1,setiap
1,brt
1,di
1,beri
1,cctv
1,","
1,karena
1,banyak
1,copet
1,berkeliaran
1,di
1,brt
1,...
1,#
1,laporhendi
2,kepada
2,yang
2,terhormat
2,pemerintah
2,provinsi
2,dki
2,jakarta
2,kami
2,ingin
2,menanyakan
2,perihal
2,kepastian
2,pembuatan
2,saluran
2,air
2,warga
2,rt
2,04
2,rw
2,06
2,pulogebang
2,cakung
2,jakarta
2,timur
2,","
2,dikarenakan
2,saluran
2,meluap
2,sehingga
2,terjadi
2,banjir
2,","
2,namun
2,sampai
2,saat
2,ini
2,masih
2,belum
2,ada
2,kejelasannya
2,","
2,mohon
2,pihak
2,terkait
2,segera
2,menindaklanjutinya
2,.
2,terima
2,kasih
2,.
3,pohon
3,tumbang
3,di
3,jalan
3,dr.rum
3,no
3,14
3,","
3,perlu
3,penanganan
3,segera
3,.
4,kepada
4,","
4,yang
4,terhormat
4,.
4,dirjen
4,pemasyarakatan
4,.
4,dh
4,.
4,mohon
4,dapat
4,memindahkan
4,kplp
4,.
4,lupa
4,.
4,wanita
4,tomohon
4,sulawesi
4,utara
4,karena
4,sangat
4,kejam
4,.
4,sering
4,.mengancam
4,","
4,membentak
4,.
4,narapidana
5,kelurahan
5,sawangan
5,kota
5,depok
5,","
5,saya
5,selaku
5,warga
5,setempat
5,(
5,dekat
5,gerbang
5,hijau
5,disamping
5,polsubsektor
5,sawangan
5,)
5,memohon
5,diperketatnya
5,keamanan
5,di
5,malam
5,hari
5,","
5,dikarenakan
5,belakangan
5,ini
5,sering
5,terjadi
5,penggunaan
5,serta
5,tawuran
5,petasan
5,antar
5,anak-anak
5,.
6,pohon
6,hampir
6,tumbang
6,yang
6,bersinggungan
6,dengan
6,kabel
6,listrik
6,tepatnya
6,di
6,kabupaten
6,nganjuk
6,","
6,kecamatan
6,sukomoro
6,","
6,jatim
6,timur
6,pom
6,bensin
6,sukomoro
6,selatan
6,jalan
6,mohon
6,untuk
6,segera
6,di
6,tindak
6,lanjuti
6,mengingat
6,sekarang
6,adalah
6,musim
6,penghujan
6,yang
6,rawan
6,angin
6,besar
6,yang
6,dapat
6,merobohkan
6,pohon
6,tersebut
6,terima
6,kasih
7,pada
7,hari
7,minggu
7,","
7,8
7,november
7,2020
7,","
7,di
7,komplek
7,vila
7,norin
7,","
7,rt01/04
7,ciganjur
7,","
7,cipedak
7,","
7,jagakarsa
7,","
7,jakarta
7,selatan
7,","
7,saat
7,hujan
7,deras
7,kurang
7,lebih
7,30
7,menit
7,terjadi
7,banjir
7,kembali
7,.
7,daerah
7,yang
7,lebih
7,rendah
7,dari
7,kami
7,bahkan
7,tidak
7,kebanjiran
7,.
7,karena
7,adanya
7,dinding
7,sungai
7,yang
7,lebih
7,tinggi
7,","
7,namun
7,bagi
7,kami
7,dinding
7,tersebut
7,menahan
7,air
7,dilingkungan
7,kami
7,.
7,lingkungan
7,kami
7,seperti
7,kolam
7,kalau
7,banjir
7,.
7,kami
7,mohon
7,bisa
7,segera
7,dilakukan
7,realisasi
7,perbaikan
7,drainase
7,dilingkungan
7,kami
7,supaya
7,tidak
7,terjadi
7,banjir
7,lagi
7,.
7,ini
7,pengaduan
7,saya
7,yang
7,ke
7,5
7,kali
7,.
7,pelaporan
7,ini
7,penting
7,untuk
7,update
7,tentang
7,kondisi
7,terkini
7,tentang
7,banjir
7,.
7,atas
7,perhatiannya
7,terima
7,kasih
8,ada
8,pohon
8,tumbang
8,yang
8,menimpa
8,kabel
8,telekomunikasi
8,di
8,jalan
8,.
8,raya
8,sinabung
8,18
8,","
8,kelurahan
8,.
8,gunung
8,","
8,kecamatan
8,.
8,kebayoran
8,baru
8,","
8,jaksel
8,.
8,saya
8,sudah
8,mencoba
8,hubungi
8,petugas
8,pln
8,","
8,tapi
8,ternyata
8,setelah
8,dicek
8,petugas
8,","
8,kabel
8,tersebut
8,adalah
8,kabel
8,jaringan
8,milik
8,telekomunikasi
8,","
8,dan
8,saya
8,harus
8,membuat
8,laporan
8,kembali
8,.
8,mohon
8,bantuannya
8,agar
8,dapat
8,segera
8,ditangani
8,","
8,karena
8,takut
8,membahayakan
8,area
8,sekitar
8,.
9,telah
9,terjadi
9,bencana
9,alam
9,banjir
9,dan
9,tanah
9,longsor
9,di
9,smp
9,satu
9,atap
9,negeri
9,2
9,sianjur
9,mulamula
9,yang
9,menghancurkan
9,laboratorium
9,ipa
9,dan
9,menggenangi
9,rumah
9,dinas
9,guru
9,dengan
9,lumpur
9,pada
9,hari
9,rabu
9,tanggal
9,7
9,maret
9,2018
9,pukul
9,23.00
9,wib
9,.
9,saya
9,selaku
9,operator
9,sekolah
9,sudah
9,mensinkronisasikan
9,kondisi
9,sarpras
9,yang
9,rusak
9,pada
9,hari
9,ini
9,kamis
9,","
9,tanggal
9,8
9,maret
9,2018
9,sekitar
9,pukul
9,19.50
9,wib
9,.
9,mohon
9,diperhatikan
9,kesejahteraan
9,kami
9,guru
9,yang
9,mengajar
9,di
9,tempat
9,ini
9,karena
9,tempat
9,ini
9,terpencil
9,dan
9,rawan
9,bencana
9,.
9,dari
9,tahun
9,2015
9,saya
9,bekerja
9,disini
9,belum
9,pernah
9,ada
9,tunjangan
9,terpencil/rawan
9,bencana
9,turun
9,untuk
9,guru
9,disini
9,.
9,sedangkan
9,biaya
9,transportasi
9,kesini
9,sangat
9,mahal.gaji
9,kami
9,guru-guru
9,habis
9,hanya
9,untuk
9,biaya
9,transportasi
9,ke
9,kabupaten
9,untuk
9,pengurusan
9,administrasi
9,guru
9,.
9,mohon
9,untuk
9,segera
9,ditindak
9,lanjuti
9,.
9,untuk
9,kali
9,ini
9,paling
9,tidak
9,kami
9,berharap
9,santunan
9,sosial
9,bisa
9,turun
9,untuk
9,masing-masing
9,guru
9,jika
9,tunjangan
9,terpencil
9,dan
9,rawan
9,bencana
