,report,institute,category
0,"LAPOR Assalamu,alaikum pak bupati..pasar sumberejo blok B antara nomer 179 sampai 221 kalau hujan deras slalu banjir.hal tsb sudah di laporkan kepada pemangku jabatan pasar tetapi tidak ditanggapi dengan adanya peebaikan.para pedagang merasa dirugikan karena tiap hari slalu membayar iuran.oleh krn itu kami meminta kepada bapak untuk menegur pejabat yang bersangkutan",Kecamatan Sumberrejo,  Perdagangan
1,"Banjir  sudah sering terjadi bahkan dalam 2 minggu ini di kampung guha siangin desa leuwikaret kecamatan klapanunggal kabupaten bogor
tidak di tangani serius dengan pemerintah desa, mohon bantuannya dari tingkat bupati untuk membantu solusi pembuatan saluran air agar tidak terjadi bencana banjir.",Badan Penanggulangan Bencana Daerah,  Penanggulangan Bencana
2,"Tolong segera ditindaklanjuti pembersihan sampah di bawah jembatan mojolegi kec. mojoagung kab. jombang jawa timur, sy kuatir jika debit air tinggi akan timbul banjir krn sampah sudah sangat mengkhawatirkan",Dinas Lingkungan Hidup Kab. Jombang,  Banjir
3,Rizkyeka16pak @hendrarprihadi jalan depan toko dan bank danamon jln mt haryono kapan ditutupnya njeh..banyak yg nyemplung got itu waktu banjir ...,Dinas Pekerjaan Umum Kota Semarang,  Ketertiban Umum
4,"Kepada yth pemda dki berwenang,

malam, dini hari pada tanggal 18 may 2021 kebetulan daerah kami kembali dilanda banjir sekitar 50cm, dimana ini disebabkan oleh meluapnya kali sekretaris yang sudah tidak mampu menampung curah hujan.. dan seluruh air kali tersebut mengalir ke wilayah kami di jl. bima rt 11/009 kemanggisan - jakarta barat.
mohon bantuannya untuk melihat kembali perbaikan kali sekretaris yang perlu dilakukan dan sudah tertunda sejak banjir-banjir sebelumnya.
atas perhatiannya kami ucapkan terima kasih.

cc. ketua rt 011 kemanggisan",Pemprov DKI 2,  Banjir
5,"Saya selaku warga tangerang yang tinggal dekat dengan kali angke. setiap kali hujan, saya lihat kali angke selalu cepat tinggi dan meluap pada akhirnya. dibandingkan dengan kali-kali lainnya, hanya kali angke yang paling cepat tinggi ketika musim hujan tiba. dengan demikian, saya mohon untuk dapat ditindaklanjuti oleh dinas maupun pemkot tangerang agar kali angke dapat dinormalisasi kembali supaya kami warga yang tinggal di dekat kali angke dapat tidur dengan tenang tanpa dihantui rasa takut akan banjir saat hujan datang. saya mohon dengan saat dan kerendahan hati yang terdalam kepada dinas, pemkot tangerang, beserta jajarannya untuk dapat mengatasi masalah ini agar selesai. terima kasih.",LAKSA Kota Tangerang,  Topik Lainnya
6,"Dengan hormat,
mohon bantuannya pak untuk perbaikan drainase kota pekalongan secara menyeluruh terutama di perum brd residence dan sekitar karena setiap hujan deras sebentar saja langsung banjir. padahal bertahun2 kami aman dari banjir dan lokasi jauh dari laut",Dinas Perumahan Rakyat dan Kawasan Pemukiman,  Drainase (Gorong-Gorong/Parit)
7,"Saya febri warga kampung malang rt.03 rw.03 no.101c kelurahan semanan kecamatan kalideres jakarta barat,semenjak komplek citra di bangun kamar saya yang paling belakang selalu banjir tak pernah surut sudah lebih dari 2 bulan dan juga saluran air di gang ini ga teratur ,mohon pak atau ibu tolong di tindak lanjut soalnya udah lapor rt rw kelurahan ga di gubris ,tolong pak sekali lagi",Pemprov DKI 2,  Topik Lainnya
8,"Assalamualaikum
saya sebagai warga yg terdampak karena drainase tidak sebanding dengan volume air, khususnya air hujan.
perbedaan proyek drainase dalam satu wilayah tepatnya di jln rs yosomiharjo bobotsari purbalingga
drainase di gang masjid 3 dengan gang masjid 2 berbeda daya tampung ahirnya. juga di jln nagasantri jalan aspas akses mobil drainase tidak bisa menampung air dari gang masjid 3. karena drainase sangat sempit juga dangkal.

saya berharap untuk jln nagasantri dibuatkan gorong gorong diameter minimal 1 meter serta di gang masjid 3 drainase diperbesar sehingga air tidak tumpah kejalan bahkan rumah warga kemasukan air di saat hujan.

mohon untuk pihak terkait berkordinasi baik dari
#gubernur jawa tengah
#bupati purbalingga
#kelurahan bobotsari
#dinas pekerjaan umum

lokasi tepatnya di sebelah barat terminal bus bobotsari.
malu jika terminal di bangun tipe a namun yang terdekat masih banjir masalah drainase.

berhubung jalan nagasantri sebagai jalur alternatif jika terjadi penutupan jalan tp iman tp atau jln yosomiharjo.

saya lampirkan maps . yg di beri tanda merah yg segera di perhatikan

terimakasih",Dinas Komunikasi dan Informatika,  Drainase (Gorong-Gorong/Parit)
9,"Pak hendi wilayah medoho hampir banjir, warga merasa was2, mhn di buat kan pompa penyedot air di bwh jembtn kartini utk antisipasi banjir.",Dinas Pekerjaan Umum Kota Semarang,  Banjir
0,Assalaamualaikum. Memberikan info pak. Got got saluran di jl Kawi Raya perumahan wates sdh penuh endapan lumpur dan air gk mengalir lancar. Sehingga sering jlnnya banjir bila hujan deras. Mohon segera  dikeruk sehingga air bisa berjalan lancar lagi dan terhindar dari banjir. Terimakasih atas perhatiannya,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KOTA MOJOKERTO,  Drainase (Gorong-Gorong/Parit)
1,"Kepada yth
Bupati Bekasi beserta jajaran

Selamat Malam,
Semoga Bapak Ibu yang terhormat senantiasa dalam perlindungan Allah SWT.
Perkenalkan nama Saya Nurul Muzdalifah warga perumahan gramapuri persada Ds. Sukajaya Cibitung
Sebagai informasi kami dari gang, malam ini melakukan musyawarah untuk perbaikan jalan di tempat tinggal kami yang rusak dan bermaksud melakukan pengecoran secara swadaya. jalan kami kondisinya rusak parah dan banjir jika hujan deras. sebelumnya kami pernah melakukan perbaikan jalan secara swadaya dengam dana RP.300.000/ KK dengan cor manual dan seadanya. tetapi kondisi cor manual dan tipis ini tidak bertahan lama karema terkikis oleh hujan. malam ini kami kembali bermusyawarah, namun dalam kondisi warga terdampak covid 2 tahun ini rencana ini tentu memberatkan.
kemudian saya membaca dimedia berikut
https://metro.tempo.co/read/1379963/kabupaten-bekasi-gelar-perbaikan-jalan-perumahan-mulai-bulan-depan
bahwa fokus Bapak Bupati beserta jajaran yang terhormat adalah perbaikan di jalan perumahan untuk itu saya memberanikan diri untuk menyalurkan aspirasi ini melalui wadah yang tersedia dengan besar harapan diberikan kemudahan untuk kami mengakses manfaat dana dari program ini.
atas perhatiannya kami haturkan terima kasih yang sebesar-besarnya.
jika berkenan informasi lebih lanjut mengenai aspirasi yang kami sampaikan, dapat menghubungi no hp 08881325343 (Nurul).

terima kasih
wassalamualaikum wr. wb

Nurul Muzdalifah","Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan Kabupaten Bekasi",  Jalan Berlubang
