report,unit
"Mohon dapat dicetak ulang kartu jamkesda yang hilang atas nik sesuai ktp terlampir, kartu hilang pada waktu kecopetan",DINAS KESEHATAN Kabupaten Grobogan
"Bisa di bantu untuk informasi no kartu peserta jamsostek saya yang hilang karena kecopetan
saya tidak bisa lakukan pencairan jht nya karena tidak tau no peserta nya
jamsostek dari pt kalbe farma tahun 2010
atas nama wiwin nurdiani
no ktp 3328094511880003",BPJS Ketenagakerjaan Kacab Jakarta Rawamangun
Lima tahun lalu saya kecopetan.kartu bpjs tk saya ikut raib bersama dompetnya.saya ingin aktifkan kartu bpjs tk saya lagi.tapi saya lupa nomernya.saya atas nama mohamad sofiudin,PEP
"Asalamualaikum. Pa maaf saya lancang. Mohon ijinsekedar ingin silaturahmi dan menyampaikan sedikit pendapat dan meminta gagasan mengenai ( cfd ) yg ada di kota garut saya pribadi pedagang yg selalu berjualan di cfd itu sendriri,  dengan rasa takut dan mungkin beresiko bagi sya akan mendapat buli atau cibiran dari bnyak ""pihak"" saya mencoba memberanikan diri untuk menyapa saber pungli langsung. Dengan harapan saya mendapat masukan apa yg harus sya lakukan mengenai hal ini. Maaf pa sekali lagi ini pun baru dugaan saya yg awam mengenai hal2 ini. Ncfd garut sudah ada kurang lebih 3 tahun. Pada awal mula cfd itu sendiri terlihat baik sesuai peruntukan nya. Makin kesini trutama 2 thun yg sya rasakan pedagang makin banyak makin tidak terkendali. Sya salah satu nya.dengan bnyak nya pedagang maka muncul lah masalah2 seperti sampah dan pencopetan, maka muncul lah kepengurusan cfd yg sya sendiri asing melihat pengurus2 tersebut. Kami di undang oleh mereka untuk mengadakan pertemuan dan di sepakati di dalam pertemuan tersebut rp.5.000,- / tenda atau pedagang. Untuk petugas yg membersihkan sampah. Yg mengatasnamakan pengurus cfd garut maka kami menyetujui nya.semakin kesini uang ""retribusi""  tersebut terus meningkat sipnifikan kurang dari setahun sekarang menjadi rp.15000/tenda atau pedagang, (bersipat wajib) dan kami di minta mengganti ukuran tenda oleh pengurus dari 3x3 menjadi 2x2 karna bnyak nya peminat ingin berjualan sya pun demikin. Dan kami pun di minta menyerahkan pas foto dan identitas ktp juga membayar 50.000 ribu per pedagang. Namun sampai saat ini kta yg mereka janjikan pun belum juga sya terima.sya mulai mencoba menghitung dengan perkiraan sya..kurang lebih hitungan kasar sya pedagang cfd garut ada 800 tenda, maka saya mulai menghitung pendapatan pengurus secara kasar.15000 x 800 = rp. 12.000.000,-dalam 1 bulan kurang lebih ada 4  hari minggu12.000.000 x 4 = rp. 48.000.000,- /bulandalam satu tahun perkiraan sya bisa mencapai rp. 576.000.000,-""angka yg luar biasa bagi saya pedagang kecil""disitulah sya tidak melihat adanya kontribusi pengurus sebagai penarik kontribusi. Entah kamana uang tersebut lari nya? Pengelolaan sampah harus kami para pedagang juga yg memungut nya ""tidak di adakan nya bak sampah sepanjang cfd"" padahal uang tersebut di atas cukup untuk membeli atau memperbaiki pasilitas cfd itu sendiri. Sya peribadi pun sma pedagang dan tidak merasa keberatan di apabila di minta uang restribusi ""sekalipun mungkin pedagang yg belum penglaris sma sekali"" dengan catatan trasparansi nya. Cfd sekarang sudah tidak di berlakukan lagi karna roda 2 dan 4 di perbolehkan lewat.  namun demikian, penarikan retribisi sebesar rp.15.000 masih di mintai. Sya berharap tim saber pungli ini dapat menyelidiki 1. Kemana uang retribusi ini mengalir2. Apakah ada orang dinas terkait yg bermain3. Apakah legalitas kepengurusandengan ini saya siap cfd di tiadakan  meskipun sya pribadi mengais rejeki berjualan di dalam nya namun karna saya hanya ikut meng kritisi apa yg terjadi untuk kemaslahatan pedagang dan kaum kecil. Mohon maaf bpa/ibu, dalam hal ini sya lancang atau ada kata2 dan penulisan yg tidak jelas dan di mengerti. Mohon kiranya dapat di tanggapi terimakasih. Wasalamualaikum",Kepolisian Negara Republik Indonesia
"Saya ingin melaporkan modus yamg dilakukan seorang pria di dalam mikrolet m32 nomer seri b ,,47, perumnas klender – kp. Melayu. Pada tanggal  january 31, 2020, seorang pria berpura2x sakit dan kejang2x di dalam mikrolet m32. Beliau berteriak2x minta ditolong dan minta saya tuk bergeser duduk saya dan tutup jendela. Saya melakukan apa yang diperintahkan nya karena saya melihat dia jatuh dari tempat duduk dan teriak2x kakinya keram. Sesudah saya menutup jendela beliau minta saya tuk pegang tangannya tetapi saya tidak melakukannya. Tapi akhirnya dia yang memegang lengan saya. Dan sesudah beliau memegang tangan saya beliau tiba2x minta turun dari mikrolet dan tidak membayar. Dia turun di apotik asta nugraha duren sawit. Sesudah dia turun , dia terlihat baik2x saja. Disebelah kiri saya ada seorang laki2x dan di sebelah kanan saya ada seoarng perempuan juga di dekat pintu yang menghadap berlawanan arah ada seorang pria berperawakan besar. Saat pria tersebut tidak ada di mirkolet lagi, para penumpang membicarakan kejadian tersebut dan curiga bahwa kalo tingkah tersebut adalah modus. Maka saya dengan segera membuka tas saya dan melihat kedalam tas saya bahwa dompet saya sudah tidak ada lagi. Lalu saya turun dan bicara kepada supir bahwa saya kehilangan dompet dan tidak dapat membayar. Sang sopir berkata tidak apa2x. Sepertinya si supir sangat mengerti apa yang menimpa saya. Lalu saya segera menelpon bank saya dan memblokir semua kartu saya. Kemudian saya berjalan ke arah dimana lelaki yang berpura2x turun. Disana saya menanyai orang2x yang ada disekitar dan menceritakan kejadian tersebut. Mereka menyuruh saya untuk menyelusuri di daerah pasar inpres duren sawit yang mana menurut mereka di situlah para penjahat berkumpul. Saya bertanya kepada salah satu penjual di depan pasar inpres dan dia berkata itu benar. Lalu beliau minta saya tuk pergi ke taman dimana mereka berkumpul. Saat tiba disana, tidak ada orang yang saya cari dan lelaki yang duduk di sebelah kiri saya. Lelaki yang di sebelah kiri turun di pasar inpres. Kemudian saya pergi ke tempat dimana para supir aplusan. Dan saya memberitahukan mereka bahwa saya kehilangan di dalam mikrolet dan memberitahu ciri2x supir pada saya naik mikrolet tersebut. Saya menunggu beberapa saat dan saya akhirnya bertemu dengan pak supir. Saya bertanya nomer plat mikrolet kepada beliau dan meminta nama supir yang melanjutkan setelah beliau. Dia memberitahukan nomer plat nya tetapi hanya 2 nomer belakang juga dengan nama supir yang melanjutkan sesudah beliau. Plat nya b..47 dan namanya buyung, umurnya setengah baya warna kulit hitam. Semua supir yang sedang beristirahat di depan toko harvest buaran mengatakan bahwa mereka mengetahui modus pria yang berpura2x sakit tersebut. Mereka bilang bahwa pria tersebut tidak sendiri. Dia melakukanya dengan 2 lelaki lainnya.  mereka mengatakan bahwa penjahat tersebut sering beroperasi di daerah duren sawit dan sekitarnya. Tetapi mereka tidak melaporkan ke polisi. Saya mengatakan kepada mereka juga bahwa saya memohon kalo mereka bertemu dengan penjahat tersebut tuk mengembalikan dompet saya karena saya butuh ktp, bpjs dan beberapa kartu keanggotaan lainnya. Saya juga memberikan nomer telepon saya agar si supir yang melihat kejadian di dalam mikrolet tsb tuk menelpon saya. Lalu saya pergi ke bank tuk mengambil uang dari teller karena saya tidak punya uang sama sekali di tas saya. Di bank saya mendapat laporan dari cs bahwa ada pencobaan penarikan atm dan kartu kredit tetapi tidak berhasil karena telah diblokir. Dr kartu kredit dilaporkan bahwa penjahat tersebut mencoba melakukan transaksi sebesar rp 3.814.432 di buaran selular dan dia/mereka mencoba melakukannya 2x pada jam 11.36 dan 11.37. Dengan kartu atm terlihat mereka gagal memasukan nomer pin sebanyak 3x. Tetapi saya lupa menyakan kepada cs dimana transaksi atau penarikan yang dilakukan dengan menggunakan kartu atm. Pada jam 18.40 saya mendapatkan sms bahwa dia/mereka mencoba tuk melakukan transaksi lagi sebesar rp 3.800.000 tetapi gagal. Sesudah dari bank saya pergi ke pospol untuk mendapatkan surat kehilangan agar saya dapat mengurus ktp. Kemudian saya ke kelurahan dan mendapatkan resi. Sesudah dari kelurahan saya pergi ke terminal perumnas klender tuk mendapatkan informasi dari para supir mikrolet apabila mereka mengetahui modus tersebut. Mereka mendengar berita tersebut dan meminta saya tuk melaporkan ke polisi. Mereka memohon untuk dilaporkan ke polisi segera karena sudah sering terjadi di mikrolet mereka entah itu m29 atau m32. Mereka menyatakan bahwa kejadian membuat kerugian karena banyak penumpang tidak mau naik mikrolet lagi karena modus kejahatan tersebut. Mereka juga mengatakan bahwa m32 situasinya sangat ngeri saat ini dan kejadian selalu terjadi pada jam2x sepi yaitu antara jam 10 - 12. Dimana pada jam tersebut itulah terjadi kepada saya yang mana tepatnya pada jam 11.15 atau 11.20. Demikianlah surat laporan ini saya buat dengan harapan agar polisi menindaki modus kejahatan ini agar tidak terulang lagi kejadian nya. Saya sangat berharap polisi berpatroli di wilayah tersebut untuk melihat kejadian ini dan menangkap para penjahat ini. Saya bersedia untuk diajak kerjasama tuk menangkap para bandit ini. Dengan adanya pencobaan transaksi dengan kartu atm dan kartu kredit mungkin akan mempermudah pelacakan untuk menangkap para bandit tersebut.",Kepolisian Negara Republik Indonesia
"Kepada yth.
Kementerian Perhubungan
c.q. Dinas Perhubungan

Salam hormat

Melalui tulisan ini saya ingin menyampaikan keluhan atas moda transportasi darat (bus) dari Jember ke banyuwangi atau sebaliknya.

1. Kondisi fisik
Kondisi fisik bus banyak yang tidak layak jalan, apalagi jika kita lihat akses dari dan menuju Banyuwangi yang sebagian besar adalah pengunungan, aspek keselamatan dan kemanan penumpang sering diabaikan.
2. Keamanan
Selama bertahun tahun untuk moda transportasi di wilayah ini peningkatan kemanan kepada penumpang sangat minim, banyak sekali kejadian (pencopetan, penipuan, dll) selalu terjadi, apalagi untuk trayek malam hari. Satu satunya peningkatan adalah adanya bus patas ke wilayah Banyuwangi, tetapi jadwal sangat minim.
3. Ketepatan waktu
Hal ini yang paling banyak dirasakan oleh pengguna, bisa kita bayangkan perjalanan dari Jember ke Banyuwangi bisa memakan waktu 4,5 sd 6 jam. Bukan karena kondisi jalan, karena 50% waktu tempuh tersebut digunakan untuk menunggu full penumpang,baru berangkat, ditopang dengan kondisi pada poin 1 di atas, lengkap sudah bahwa perjalanan dipastikan sangat amat lambat sekali.

Kami mohon pihak pihak terkait dapat menertibkan hal tersebut, karena seolah terjadi pembiaran selama bertahun - tahun.

Sekian terima kasih",Dinas Perhubungan
"Saya pengguna krl. di stasiun tanah tinggi tangerang, ketika keluar dari tap out stasiun, para pengguna krl akan menjuju pintu keluar yg ada di sebelah kanan dan kiri gerbang gate tap in dan tap out. di sepanjang jalanan tersebut, tidak disediakan penerangan jalan, jadi jika pengguna krl pulang dan datang ke stasiun tanah tinggi tangerang di malam hari, kami kegelapan karena tidak ada lampu yg menerangi di tempat tersebut. bisa dicek jika sudah malam yang bisa menyebabkan keselamatan saya terancam, karena suasana yang sangat gelap dan tidak adanya cctv atau perekam di daerah tersebut. di tangga tangga penyeberangan daerah sekitar juga tidak ada lampu penerangan, di tangga penyeberangan di depan mal balekota dan di dekat flyover dekat pln. saya pernah kecopetan bluetooth earphone di daerah tersebut, oleh orang yang mengendarai motor, earphone yg masih terpasangang ditelinga saya direbut oleh orang tersebut.",PT Kereta Api Indonesia (Persero)
"Saya pengguna krl. Di stasiun tanah tinggi tangerang, ketika keluar dari tap out stasiun, para pengguna krl akan menjuju pintu keluar yg ada di sebelah kanan dan kiri gerbang gate tap in dan tap out. Di sepanjang jalanan tersebut, tidak disediakan penerangan jalan, jadi jika pengguna krl pulang dan datang ke stasiun tanah tinggi tangerang di malam hari, kami kegelapan karena tidak ada lampu yg menerangi di tempat tersebut. Bisa dicek jika sudah malam yang bisa menyebabkan keselamatan saya terancam, karena suasana yang sangat gelap dan tidak adanya cctv atau perekam di daerah tersebut. Di tangga tangga penyeberangan daerah sekitar juga tidak ada lampu penerangan, di tangga penyeberangan di depan mal balekota dan di dekat flyover dekat pln. Saya pernah kecopetan bluetooth earphone di daerah tersebut, oleh orang yang mengendarai motor, earphone yg masih terpasangang ditelinga saya direbut oleh orang tersebut.",PT Kereta Api Indonesia (Persero)
Lapor hendi ..kmrn tgl 6 januari 2020 jam 13.09..sy naik brt jurusan mangkang sy kecopetan dompet..brt saat itu penuh. mohon solusinya.,Dinas Perhubungan Kota Semarang
"Pak polisi yang terhormat,

belakangan kian marak aksi kejahatan, baik dirumah ataupun dijalan raya. ditempat saya tinggal saat ini saja (palembang) dalam 1 minggu ini terjadi 3 aksi begal. untuk itu saya merasa perlu melindungi diri dengan alat tambahan, karena menyimpan benda beharga pun tidak cukup untuk tidak mengundang tindak kejahatan. 2 minggu yang lalu saja saya pernah melihat copet didepan mata saya yang langsung kabur seusai melakukan aksinya, begitu akan ditangkap dia melawan membawa senjata tajam sehingga membuat orang takut untuk menangkapnya dan copet pun lolos.

saya pernah membaca artikel bahwa pemakaian alat pelindung diri seperti taser (alat kejut) diperbolehkan, yang ingin saya tanyakan adalah:
1. benarkah penggunaan alat tersebut (seperti taser dan paprica spray) untuk pelindung diri diperbolehkan?
2. apakah membawa alat tersebut melanggar aturan atau bisa dikenakan pidana atau hal lainnya?

demikinalah pertanyaan dari saya,
saya menunggu jawaban jelas secepatnya.
atas perhatian dan kerjasamanya, saya ucapkan terima kasih.
hormat saya,",Kepolisian Negara Republik Indonesia
