,report,unit
0,Assalamualaikum saya mau lapor mohon bantuan dan donasi nya buat kami korban kebakaran yang melibatkan semua isi rumah habis. pada hari minggu kemarin tanggal 28 februari 2021 pagi pukul 9. di dukuh catrik desa wonobodro kab batang jawa tengah. sudah 7 hari ini blum bisa rumah blm bisa di huni atap blm  ada. sementara masih tidur d kerbat terdekt. kami ingin rumah segera bisa di huni lagi segera pasang atap pagar tembok seadanya walaupun retak kena api. yang penting kami bisa pulang.,Dinas Perumahan Rakyat dan Kawasan Permukiman Kabupaten Batang
1,"Selamat pagi bapak/ibu yang saya hormati. hari ini telah terjadi kebakaran besar di kecamatan lembor. ini merupakan kebakaran yang kesekian kalinya yang menyebabkan kerugian yang sangat besar bagi masyarakat. hampir semua toko habis terbakar. api s sangat sulit dipadamkan karena tidak tersedianya unit pemadam kebakaran.  saya pikir hal tersebut tidak akan terjadi apabila pemerintah manggarai barat menyediakan unit pemadam kebakaran. saya memohon kepada pemerintah manggarai barat yang sangat saya hormati untuk pengadaan unit pemadam kebakaran di kecamatan lembor. 
demikian yang dapat saya aspirasikan. 
terimkasih banyak",Satuan Polisi Pamong Praja
2,"Assalamualaikum wr wb.
bismillahirrohmanirrohim, teriring doa semoga bapak walikota segera diberikan kesembuhan dan kita semua dalam kesehatan dan lindungan rahmat allah swt,

dengan hormat, kang oded bapak walikota bandung yang kami hormati, kami adalah warga apartemen gateway ahmad yani bandung. mungkin sudah pernah kang oded mengetahui beberapa permasalahan yang menimpa warga gateway. kali ini kami ingin menyampaikan mengenai fasilitas umum yang dikuasai kelompok dan tidak dilakukan serah terima kepada warga/pemerintah daerah. 

 sesuai peraturan daerah kota bandung nomor 5. tahun 2019 “tentang penyediaan, penyerahan dan pengelolaan prasarana,sarana dan utilitas umum perumahan”
jenis prasarana, sarana, dan utilitas umum perumahan pada kawasan perumahan atau kawasan mix-use pada lahan di atas 5.000 m2 (lima ribu meter persegi) meliputi:
	prasarana, sebagai berikut:
1)	jaringan jalan;
2)	jaringan saluran pembuangan air limbah
3)	jaringan saluran pembuangan air hujan (drainase);
4)	jaringan brandgang; dan
5)	tempat penampungan sampah sementara dan tempat pengelolaan sampah.
	sarana, sebagai berikut:
1)	pertamanan dan ruang terbuka hijau;
2)	pemakaman;
3)	perniagaan/perbelanjaan;
4)	kesehatan;
5)	peribadatan;
6)	pendidikan;
7)	pelayanan umum dan pemerintahan;
8)	rekreasi dan olahraga;
9)	parkir.
	utilitas umum, sebagai berikut:
1)	jaringan air bersih;
2)	jaringan listrik;
3)	sarana penerangan jalan umum;
4)	jaringan transportasi (terminal, halte, dan shuttle bus); dan
5)	sarana pemadam kebakaran.

hal utama yang kami laporkan adalah bahwa, prasarana, sarana, dan utilitas umum yang sekarang ini ada, 
a)	tidak memenuhi syarat dan kriteria serta 
b)	tidak dilakukan serah terima kepada pemerintah kota, sehingga dikuasai oleh kelompok tertentu.

tidak memenuhi kriteria dan syarat yang kami maksudkan adalah sesuai paragraf kesatu, tentang objek dan kriteria pasal 14 :
a.	harus sesuai dengan standar, persyaratan administrasi dan teknis yang ditentukan oleh pemerintan daerah kota;
b.	harus sesuai dengan rencana tapak yang telah disahkan oleh pemerintah daerah kota; 

sehingga kerugian yang di rasakan warga diantaranya adalah (dan tidak terbatas):
	kualitas fasilitas yang tidak sesuai standar teknis. 
	 tidak tersedia dan berubahnya penggunaan prasarana, sarana dan utilitas umum seperti pertamanan dan ruang terbuka hijau yang diubah menjadi bangunan sehingga berkurang lahan terbuka hijau yang dialokasikan; 
	tidak tersedia lahan pemakaman; 
	penyediaan lahan parkir tidak sesuai rasio, 
	penyediaan sumber air bersih yang buruk (kotor); 
	meter listrik tidak sesuai standar dan tarif listrik yang mahal dan dimonopoli; 
	sarana pemadam kebakaran yang tidak teruji kelayakan fungsinya.

sedang penyerahan prasarana, sarana, dan utilitas umum adalah, bahwa objek tersebut tidak diserahakannya tanggungjawab pengelolaan kepada pemerintah daerah kota, bahkan dikuasai oleh kelompok tertentu sehingga berpotensi dan sudah merugikan warga gateway ahmad yani, juga pemerintah kota bandung.
sejak  selesai pembangunan sekitar tahun 2011 hingga 2021, (10 tahun) berpotensi merugikan warga gateway ahmad yani, dan pemerintah kota bandung, diantaranya adalah untuk hal-hal berikut ini (dan tidak terbatas):
a.	penentuan ipl (iuran pengelolaan lingkungan)
	iuran warga yang mencapai rp 7,5 m per tahun (data tahun 2019) atau diperkirakan mencapai rp 70 m, dikuasai dan tidak dipertanggung jawabkan secara transparan kepada warga 
	tidak ada kerjasama dan laporan pengelolaan kepada pemerintah daerah
	penentuan tarif ipl secara sepihak tanpa persetujuan pemerintah kota dan warga
	penunjukan pemilihan dan kerjasama dengan badan pengelola apartemen yang tidak transparan yang berpotensi kkn
	penggunaan dana ipl tidak sesuai dengan peruntukanya, rencana  pengelolaan lingkungan gateway
b.	perparkiran
	lahan parkir yang tidak diserahkan kepada pemerintah daerah, sehingga di kuasai secara sepihak oleh kelompok tertentu
	dengan tidak dikelolanya perparkiran secara transparan, maka retribusi parkir tidak diterima oleh pemerintah kota (penerimaan parkir mencapai rp 3,5 m pertahun (data tahun 2019), atau total diperkirakan mencapai rp 30m dikuasai dan tidak dipertanggung jawabkan secara transparan kepada warga
	warga kehilangan hak parkir berlangganan, yang semua di terima sebagai fasilitas pemilik
	penetapan harga parkir secara sepihak yang mahal, sehingga merugikan warga
	rasio dan kejelasan luasan fasilitas lahan parkir tidak ditentukan, sehingga sebagian lahan parkir dikuasai dan dimanfaatkan kelompok tertentu
	pemilihan dan kerjasama dengan pengelola parkir yang tidak transparan

c.	pengelolaan listrik
	utilitas dan pengelolaan listrik tidak diserahkan kepada pemerintah daerah, sehingga tidak dikelolanya manajemen listrik secara transparan, 
	penetapan tarif harga listrik tidak sesuai acuan pln, dan mahal, sehingga merugikan warga
	pengelolaan secara monopoli, sehingga warga kesulitan untuk mendapatkan pulsa listrik yang harus di beli pada pihak tertentu
	tidak dilakukan kalibrasi meter listrik sehingga tidak ada kepastian harga tarif yang dibayar

d.	lahan terbuka hijau
	sesuai peraturan daerah kota bandung nomor 07 tahun 2013 tentang “penyediaan, penyerahan, dan pengelolaan prasarana, sarana, dan utilitas perumahan dan permukiman”  ayat  (2) setiap pengembang rusun harus menyediakan prasarana, sarana, dan utilitas dengan proporsi paling sedikit 50% (lima puluh persen) dari luas lahan yang dikembangkan, maka karena apartemen ini dibangun mengacu pada aturan ini, maka lahan terbuka yang tersedia tidak memenuhi aturan tersebut (50%)
	lahan terbuka di ubah peruntukannya menjadi bangunan dan dijual sebagai ruko
	pemanfaatan secara sepihak lahan terbuka hijau sebagai lahan bisnis

e.	air bersih
	fasilitas air bersih yang tesedia dari pdam tidak mencukupi dari kebutuhan warga gateway
	 air pdam dicampur dengan air sumur, dengan kualitas rendah sehingga air kualiras air yang diterima warga dalam kualitas yang buruk dan tidak memenuhi standar air bersih
	tidak disediakannya ipal (instalasi pengolahan air limbah) sehingga warga dibebankan biaya pengolahan air limbah sebesar 30% dari penggunaan air bersih pdam

sesuai tugas pengawasan dan pengendalian (pasal 24) yaitu  wali kota berwenang melakukan pengawasan dan pengendalian terhadap pengembang, masyarakat, dan pemerintah daerah kota dalam penyediaan, penyerahan dan pengelolaan prasarana, sarana, dan utilitas umum perumahan, maka kami mohonkan kepada pemerintah kota bandung untuk segera melakukan penyidikan sesuai pasal 27 serta membentuk tim verifikasi serah terima ini
besar harapan kami agar pengelolaan prasarana, sarana, dan utilitas umum dapat segera menjadi tanggung jawab warga penghuni karena apartemen gateway merupakan hunian eksklusif, dan tetap menjalin kerjasama dengan pemerintah daerah kota, setelah prasarana, sarana, dan utilitas umum diserahkan kepada pemerintah daerah kota
tentu kami tidak berharap konflik ini berkelanjutan dan memberikan kesan buruk bagi apartemen kami, justru sebaliknya kami ingin apartemen kami menjadi kawasan yang lebih baik lagi, sehingga pengaduan ini semata-mata bertujuan untuk mewujudkan kebaikan bersama
kami berharap kang oded dapat menanggapi surat ini karena kami sudah menyampaikan beberapa pengaduan melalui surat pembaca. namun sampai sekarang tidak ada tindak lanjut dari pengaduan kami.
demikan pengaduan ini kami sampaikan, mudah-mudahan menjadi perhatian semua pihak.","Dinas Perumahan dan Kawasan Pemukiman, Pertanahan dan Pertamanan Kota Bandung"
3,"Saya warga kabupaten jayapura mau membayar pajak bumi dan bangunan, mohon petunjuk untuk lokasi gedung bappenda ada dimana? pasca gedung bappenda mengalami kebakaran tahun lalu. terima kasih",Badan Pengelola Pendapatan Daerah Kabupaten Jayapura
4,"Lokasi di jalan pekapuran 2 raya, kelurahan tanah sereal, kecamatan tambora, dki jakarta. kejadian sejak 1-2 pekan yang lalu terhitung dari tanggal 26 feb 2021 hingga malam ini. mereka suka berkumpul dari area belakang sekolah bhinneka tunggal ika (bukan gang di belakang sekolah, dan sebelum pabrik kaleng, area warung bakar ayam) hingga melewati rumah praktek dokter halim. wilayah yang disebutkan dapat berganti apabila terdeteksi ada aparat yang berpatroli.

tiap malam terdapat segerombol besar anak tanggung yang selalu berkumpul tanpa masker hingga jam 3 pagi. gerombolan selalu menciptakan keonaran dan keributan, bahkan pada tanggal 26 feb 2021 pagi sekitar jam 1, dicurigai terlibat kegiatan pembakaran. saat kejadian, listrik akhirnya padam untuk sebagian rumah tertentu.

bukti perihal ini adalah hanya mereka yang paling awal meneriakkan kata kebakaran dan bukan warga sekitar. lebih anehnya lagi, kondisi jam 1 pagi itu adalah hujan ringan, sangat mustahil ada kebakaran yang tidak disengaja. listrik selalu mengalami masalah saat jam 1 pagi, sudah terjadi selama 3-4 hari, mulai tanggal 22-23 feb 2021.

gerombolan juga suka sekali dengan menggeber motor kencang-kencang, secara disengaja dan balap liar. perjudian juga sangat umum terjadi. mereka semua berkumpul menggunakan motor yang tidak dilengkapi dengan plat nomor supaya tidak dapat dilacak. motor juga dilengkapi dengan sirene yang mirip dengan aparat berwenang untuk menakuti-nakuti warga.

laporan yang disampaikan ke pemerintah provinsi tidak ditanggapi dengan serius. padahal masalah ini amat mengganggu ketertiban dan juga jelas-jelas melanggar ppkm mikro yang sedang diberlakukan.",Pemprov DKI 2
5,"Banyak tumbuhan dan tanaman liar di lahan kosong yang biasanya kebakaran, kali ini tumbuh lebat hingga mengganggu ruas jalan. saat malam hari, jalan ini minim penerangan dan ada tikungan dengan blindspot juga di sebelah baratnya. karena adanya tumbuhan dan tanaman liar ini, seringkali kita tidak bisa menepi ketika harus simpangan dengan kendaraan berat atau besar, karena di timur jalan ini terdapat markas truck  berisi lebih dari 10 truck yang setiap harinya beroperasi. tepat di jalan bulusidokare-pekauman, kelurahan bulusidokare, kecamatan sidoarjo, tepat dibelakang perumahan sekawan anggun atau di seberang bakso biru. mohon dilakukan pencukuran atau pemotongan.",Dinas Lingkungan Hidup dan Kebersihan Kabupaten Sidoarjo
6,"Pemerintah instansi terkait mohon maaf tolong informasinya dong kemana saya harus ajukan umkm daerah bekasi karna saya sudah daftar kelurahan tapi tidak mendapatkannya, selama 7 tahun ini pihak setempat kurang peduli atas keprihatinan atas anak saya yang (microsepallus) otak nya tidak berkembang sejak di rahim. hingga kini anak saya tidak bisa bicara n jalan (tidak normal/dipabelitas), penglihatannya pun tidak fokus dan buang air besarnya susah ditambah tulang dadanya pas di hati nonjol.
saya mohon uluran tangannya... saya berharap sekali donasiny, sebab saya sudah tidak bekerja,di rumahkan sejak tanggal 31 bulan desember. saya masih ada tunggakan air pam 7 bulan, di karenakan uang nya untuk keperluan vitamin &obat anak saya tiap mingguny harus mempunyai 450.000. pinjaman saya dimana mana.padahal saya dl pernah bertugas dinas pemadam kebakaran & dinas bnpb dki selama 11 tahun mengabdi jadi tenaga honorer. sedih saya sama nasib saya sekarang
alamat saya perumahan taman wisma asri blok e31 no.11 rt003 rw017 jl.sawo jajar 2 kelurahan teluk pucung kecamatan bekasi utara 082299418396",Dinas Koperasi Usaha Kecil dan Menengah Kota Bekasi
7,"Tolong dengan sangat, setiap musim kemarau mulai, masyarakat kalbar selalu menghirup asap dari kebakaran hutan yang di sengaja dari pembukaan laham. minta tolong di tangkap sampai atasannya, karena percuma jika cuma di tangkap bawahannya saja.",Dinas Lingkungan Hidup dan Kehutanan Provinsi Kalimantan Barat
8,"Adanya pemanfaatan salah satu rumah di komplek perumahan bilal harmonis jln. bilal ujung, kelurahan pulo brayan darat, kecamatan medan timur, medan - sumatera utara, keluhannya adalah usaha penampungan barang bekas / besi tua dilakukan di dalam kompleks perumahan, sangat mengganggu warga karena usaha tsb tidak pantas dibuat di dalam kompleks perumahan, karena berdampak terhadap kesehatan, rentan akan kebakaran, berkumpulnya wabah penyakit.mohon agar bapak camat  dapat mengambil tindakan sesuai dengan pengaduan yang telah saya laporkan berulang ulang ulang ulang dan akhir nya pengaduan tertutup oleh sistem, karna di tingkat kelurahan tidak ada kejelasan perihal ini, mohon bapak camat dapat memberikan petunjuk nya. apakah usaha membuat usaha barang bekas atau botot di perbolehkan di buat di dalam kompleks perumahan menurut uu yang berlaku ? apabila di perbolehkan, apakah boleh  membuka usaha tanpa ada izin ? tanpa memperhatikan aspek kesehatan dan lingkungan. mohon dengan sangat untuk bisa menjelaskan nya. terima kasih.",Kecamatan Medan Timur
9,Telah terjadi kebakaran lahan milik warga di telok dalam desa wajok hulu kecamatan jongkat dan dapat di atasi bersama tim karhutla kecamatan jongkat,Badan Penanggulangan Bencana Daerah
