query,report,institute,category
kdrt,"Kepada yth : Ibu Kadis Dinas Pengendalian Penduuk, KB, P3A  Kab. Deli Serdang

lapor.

kapan pemerintah hadir di desa-desa untuk mensosialisasikan tentang bahayanya seks pada usia muda, pacaran sehat, dan bagaimana seorang ibu atau masyarakat dapat memiliki pengetahuan terkait advokasi apabila ada kdrt dalam keluarganya. 
terimakasih

riri","Dinas Pengendalian Penduduk, KB dan Pemberdayaan Perempuan, Perlindungan Anak Kabupaten Deli Serdang",  Pemberdayaan Masyarakat
kdrt,"Kepada yth
kepala dinas pengendalian penduduk,kb dan pemberdayaan perempuan,perlindungan anak kab. deli serdang prov. sumut
di tempat

dengan hormat
untuk kasus kekerasan  dalam rumah tangga apakah korban bisa mendapatkan bantuan hukum dari dinas pengendalian penduduk,kb dan pemberdayaan perempuan,perlindungan anak kab. deli serdang? jika ada kemanakah korban membuat melapor? mohon bantuannya. terimakasih","Dinas Pengendalian Penduduk, KB dan Pemberdayaan Perempuan, Perlindungan Anak Kabupaten Deli Serdang",  Perlindungan Sosial
kdrt,"Kepada yth.
kepala dinas pengendalian penduduk, pemberdayaan perempuan dan perlindungan anak kota gunungsitoli

saya mewakili warga di kelurahan tumori balohili berharap agar kiranya pihak dinas pemberdayaan dapat membuat sosialisasi tentang bahaya kdrt bagi tumbuh kembang seorang anak.

#sahabatlapor!","Dinas Pengendalian Penduduk, Pemberdayaan Perempuan dan Perlindungan Anak Kota Gunungsitoli",  Sosialisasi
kdrt,"Kpd. yth.
walikota gunungsitoli

pak walikota yang kami hormati, melalui ini saya ingin memohon kepada bapak agar dapat membuatkan sosialisasi tentang bahaya kdrt terhadap kejiwaan perempuan di kelurahan orahili tumori, kecamatan, gunungsitoli barat.
terima kasih pak.

#sahabatlapor!","Dinas Pengendalian Penduduk, Pemberdayaan Perempuan dan Perlindungan Anak Kota Gunungsitoli",  Kategori Keluhan
kdrt,"Kepada yth,
bupati deliserdang
cq. kepala dinas pengendalian penduduk, kb dan pemberdayaan perempuan, perlindungan anak kabupaten deli serdang

terkait soal kasus suami yang menganiaya istrinya yang terjadi di jalan bunga kenanga, dusun iv desa simalingkar a, kecamatan pancur batu, kabupaten deli serdang pada tanggal 12 agustus 2019 lalu, saya ingin bertanya pak, apakah ada perlindungan dan pemulihan bagi korban kdrt di kabupaten deliserdang? sebab pelaku tersebut juga membelenggu tangan dan kaki istrinya.

mohon kiranya pak bupati dapat segera merespon hal ini, dan memerintahkan dinas terkait untuk memberikan sosisalisasi kepada masyarakat terkait bahayanya kdrt. terimakasih.

#sahabatlapor!","Dinas Pengendalian Penduduk, KB dan Pemberdayaan Perempuan, Perlindungan Anak Kabupaten Deli Serdang",  Keamanan dan Ketertiban Masyarakat
kdrt,Bulungan terjadi kekerasan dalam rumah tangga di kec. tanjung selor,DPPPAPP dan KB Kab Bulungan,  Tindak Pidana
kdrt,"Salam hormat mentri keuangan,
mohon diproses hak pembagian sepertiga gaji untuk bekas istri dan anak menurut pp no 10 tahun 1983 dan pp no 45 th. 1990 - pasal 8,  bagian keuangan politeknik negeri kupang, ntt, karena bekas suami adalah pns di politeknik negeri kupang.
perceraian terjadi karena suami melakukan kekejaman atau penganiayaan berat baik lahir maupun batin yang mengakibatkan psikis dan traumatis terhadap saya (istri) dan anak sehingga kami meninggalkan suami. hal ini pernah saya laporkan ke polisi tentang kdrt tahun 2011. saat itu, saya (bekas istri) sedang tugas belajar di malang, anak usia 11 tahun dan ikut bersama saya sampai sekarang (tanpa bantuan materiil sama sekali dari bapaknya).
akan tetapi suami menggugat cerai tahun 2015 dengan putusan sepihak bahwa istri meninggalkan rumah tanpa alasan. tentang kekejaman dan proses pemanggilan polisi menyangkut pelaporan kdrt tidak disinggung dalam proses perceraian. gugatan dilakukan di pengadilan negara kupang, saya tidak mengetahui proses pengadilan tersebut karena berada di malang
sekarang ini saya bisa melaporkan hal ini setelah mendapatkan konsultasi dari kanreg ii bkn jawa timur pada tanggal 14 juni 2019, tentang pp no 45 th 1990.
setelah mendapatkan akte cerai, tahun 2016, saya dan anak mengurus kk dan ktp kabupaten malang atas bantuan dispenduk kabupaten malang. karena alasan keamanan diri, traumatis, dan keuangan, saya tidak bisa ke kupang, ntt, untuk melaporkan perceraian ke bagian keuangan politeknik negeri kupang.
melalui e-lapor, mohon bisa diproses hak saya dan anak sebagai tergugat cerai.
terima kasih.

#menkeu
#menpan
#kemenristekdikti
#biro sdm ristekdikti
#biro hukum ristekdikti
#bkn pusat
#kanreg x bkn denpasar bali
#politeknik negeri kupang
#ombudsman",Biro Sumber Daya Manusia Kementerian Riset dan Teknologi,  Kepegawaian
kdrt,"Yth. BKN
Mohon informasi terkait PP Perceraian PNS..

Menurut PP No. 45 tahun 1990 dan Surat Edaran BKN No 48/SE/1990 menyatakan bahwa suami yg menceraikan istrinya bukan dengan alasan perselingkuhan dan KDRT WAJIB menyerahkan 1/3 bagian gaji dan 1/3 lagi untuk anak. Dimana gaji yang dimaksud adalah seluruh penghasilan yang diterima.

Penghasilan PNS saat ini selain gaji terdapat juga Tunjangan Kinerja..

Pertanyaan saya, bagaimana eksekusi penyerahan bagian penghasilan tersebut untuk mantan istri dan anak? Prosedur SOP eksekusi PP tersebut bagaimana?
Dan apakah Tunjangan Kinerja dan gaji bisa dilakukan secara otomatis masuk dalam rekening mantan istri?

Terimakasih",Direktorat Peraturan Perundang-undangan,  Kepegawaian
kdrt,"Kepada BKN selaku Badan yang menangani kepegawaian Nasional, saya ingin menyampaikan keluhan yaitu pegawai negeri Nabire, Papua atas nama Ama Deny Rihy, A.MD.Com, Golongan ; Pengatur TK.INip : 19800307 200801 1 018 sebenarnya statusnya sudah berpisah dari istri bernama Terry Fiviyane dari tahun 2011. Ama Deny Rihy sama sekali tidak pernah memberikan nafkah ataupun tunjangan untuk anaknya, padahal dalam daftar gaji tunjangan istri dan anak masih ada.Istri dari Ama Deny Rihy tersebut meninggalkan Ama Deny Rihy karena Ama Deny Rihy melakukan KDRT dan selingkuh dari tahun 2009.Harap hal ini ditangani dengan serius karena ketika istri meminta Ama Deny Rihy bertanggung jawab kepada anaknya, Ama Deny tersebut tidak mau bertanggung jawab.Ama Deny pun melakukan pemalsuan tanda tangan istri untuk melakukan pinjaman di bank dengan jumlah yang cukup besar dan uang tunjangan pun dinikmati oleh dia.Harap ditindaklanjuti dengan sangat serius agar kiranya keadilan terjadi.",Direktorat Pengawasan dan Pengendalian IV,  Kepegawaian
kdrt,"Kepada BKN selaku Badan yang menangani kepegawaian Nasional, saya ingin menyampaikan keluhan yaitu Pegawai Negeri Nabire, Papua atas nama Ama Deny Rihy, A.MD.Com, Golongan ; Pengatur TK.I Nip : 19800307 200801 1 018 sebenarnya statusnya sudah berpisah dari istri bernama Terry Fiviyane dari tahun 2011. Ama Deny Rihy sama sekali tidak pernah memberikan nafkah ataupun tunjangan untuk anaknya, padahal dalam daftar gaji tunjangan istri dan anak masih ada. Istri dari Ama Deny Rihy tersebut meninggalkan Ama Deny Rihy karena Ama Deny Rihy melakukan KDRT dan selingkuh dari tahun 2009. Harap hal ini ditangani dengan serius karena ketika istri meminta Ama Deny Rihy bertanggung jawab kepada anaknya, Ama Deny tersebut tidak mau bertanggung jawab. Ama Deny pun melakukan pemalsuan tanda tangan istri untuk melakukan pinjaman di bank dengan jumlah yang cukup besar.Harap ditindaklanjuti dengan sangat seirus agar kiranya keadilan terjadi.",Direktorat Pengawasan dan Pengendalian IV,  Kepegawaian
