report,unit
"Saya lihat di simpangan depok dekat jatijajar ada gelandangan nenek2 kakinya bengkak luka besar dan seperti sudah membusuk, banyak nanah dan di hinggapi lalat",Satuan Polisi Pamong Praja Kota Depok
"Yth. pt. jasa raharja (persero),

saya bobi pradesha kakak dari korban kecelakaan feri ade putra nik ktp: 1704121503970001. saya melapor bahwa adek saya feri ade putra mengalami kecelakaan motor yang luka parah dan patah kaki dan tangan... pihak keluarga telah berupaya mengajukan klaim jasa raharja dan telah di terima, akan tetapi sudah satu bulan lebih pengajuan keluarga belum mendapat santun dari jasa rahasia, sedangkan teman feri ade putra yang meninggal dunia sudah menerima santunan jasa raharja.... tolong pak di proses....
alamat rumah: desa kasuk baru, kecamatan tetap, kabupaten kaur, provinsi bengkulu....
semoga dengan laporan saya, pihak pt. jasa raharja segara menindak lanjuti.... trima kasih",PT Jasa Raharja (Persero)
"Saya ingin melaporkan tentang tidak sinerginya lembaga pemerintah dalam menjalankan perpres 82 tahun 2018. 
Dapat saya sampaikan kronologis sebagai berikut : 
Telah terjadi penyerangan rumah dan penganiayaan berat hingga mengakibatkan korban luka parah / koma / kritis di helvetia kota medan pada tanggal 24 maret 2019. Korban ini adalah seorang pelajar anak dari seorang guru smp negeri bernama riko lumban raja. 
Riko anggota bpjs aktif yang selalu melakukan pemenuhan kewajibanya dan dalam kondisi malang sekarang riko harus koma dan berada di rumah sakit bukan keinginan dia, akan tetapi ketika riko ingin meminta hak nya sebagai anggota bpjs akti yang selalu membayar kewajibanya riko harus terganjal dengan perpres 82 tahun 2018 dimana korban tindak pidana tidak lagi menjadi tanggungan bpjs, untuk itu pihak bpjs menyarankan untuk mengkomunikasikan kepada lpsk karena riko sebagai korban.
Komunikasipun dilakukan oleh pihak keluarga kepada lpsk akan tetapi jawaban yang diberikan pihak lpsk adalah lpsk mempunyai prioritas tindak pidana yang dapat mereka lindungi korbanya. Untuk masalah riko ini mereka menyebutnya tpl atau tindak pidana lainya. Dan pihak lpsk juga menyebutkan keluarnya perpres 82 tahun 2018 itupun tidak terkonfirmasi oleh lpsk itu bisa dilihat dengan tidak bertambahnya anggaran lpsk. 
Jika lpsk memberikan keterangan seperti itu apa bedanya seorang korban tindak pidana korban yah sama sebagai korban apa karena kasus riko kurang menarik perhatian. 
Sedangkan kondisinya per hari ini biaya pengobatan riko sudah mencapai rp. 127.000.000,-  dan pihak rumahs akit butuh kepastian siapa yang akan mengatasi biayanya. Lalu kepada siapa keluarga riko harus mengadu dalam kondisi mereka ini dimana lembaga pemerintah tidak sinergi dalam mengimplementasikan perpres tersebut. 
Untuk itu kami mohon ini menjadi antensi untuk dapat di komunikasikan kepada lembaga terkait agar riko mendapatkan kepastian untuk hidup. 
Atas waktu dan kerjasamanya saya mengucapkan terima kasih   
Nb. Saya lampirkan 
1. Identitas orang tua korban
2. Kartu angota bpjs korban 
3. Laporan polisi
4. Foto kondisi korban",BPJS Kesehatan KCU Medan
"BDG Assallamuallaikum pa ini saya windi anggraeni warga cipamokolan bandung..mohon bantuannya pa mengenai pencairan jasa raharja..dikarenakan hingga 1 bulan berlalu atas kecelakaan angkutan elf bandung-garut di jalan percobaan cileunyi yang mengakibatkan 2 korban luka parah dan salah satu korban adalah adik saya salsa sabilla, korban di rawat di rs al islam bandung selama 3 hari dan dilakukan operasi untuk tangannya, adapun biaya yg keluarga kelurkan sekitar 14 juta..pengajuan telah dilakukan sekitar 4 minggu..namun yg membuat bingung ketika datang ke jasa raharja jl.soekarno hatta menyatakan jika adik saya tinggal di kota maka yg mengurus jasa raharja jl.surya somantri namun setelah berkas di jasa raharja surya sumantri menyatakan jika kejadian di kabupaten maka yg menangani jasa raharja jl.soekarno hatta..mohon bantuannya pa karena saya merasa di buat bi gung oleh hal ini..terutama biaya pengobatan adik saya masih terus berjalan dan hutang ke saudara bekas di rumah sakit cukup banyak..jadi kelurga sangat menunggu pa santunan dari jasa raharja..terima kasih pa atas perhatiannya..",Badan Penyelenggara Jaminan Sosial Kesehatan
"""LAPORANHENDI"" mohon kpd instansi terkait dg masalah tanjakan silayur ngaliyan yg sering memakan korban KLL. Apanya yg salah dg jalan tsb. Dalam minggu ini telah 2x terjadi KLL. yg banyak bawa korban luka parah maupun korban jiwa. Apa rambu2 yg kurang jelas atau pengemudi yg kurang hati2. Tolong dikaji dn dievaluasi. Terima kasih","Dinas Perhubungan, Komunikasi, dan Informatika Kota Semarang"
"Lapor Mas Hendi.Hari ini, Sabtu (17/12) terjadi kecelakaan yang diakibatkan POHON TUMBANG di Jl. Indraprasta Semarang. Korban terluka parah dan dirawat di RS. KARIYADI.Mohon ditindaklanjuti sebelum ada korban selanjutnya dan pada yang sudah menjadi korban juga mohon diperhatikan.Terima kasih",Dinas Kebersihan dan Pertamanan Kota Semarang
"Kepada Yth. Pemerintah Provinsi DKI Jakarta. Saya Adinda Aniza, mahasiswi tingkat awal Universitas Trisakti. Saya memiliki aspirasi yang didasarkan atas kejadian yang saya alami beberapa hari lalu.  Tempo hari, saya dalam perjalanan pulang kuliah menggunakan transjakarta, di tengah perjalanan ada seorang pemuda yang tiba-tiba jatuh kejang-kejang. Tidak ada orang yang berpengalaman atau berpendidikan dalam bidang kesehatan saat itu, petugas penjaga pintu bus transjakarta pun diam saja terlihat bingung tidak tahu apa yang harus dilakukan. Pemuda tersebut hanya dibiarkan telungkup (tidak terlentang), sampai akhirnya ada seorang wanita awam yang berpendapat bahwa sebaiknya korban tersebut ditelentangkan, atau didudukkan.  Yang saya sadari dari kejadian ini adalah kurangnya wawasan masyarakat Indonesia dalam P3K, menurut saya masyarakat harus diberikan wawasan mengenai P3K, terutama berdasarkan kejadian ini, petugas layanan transportasi. Hal ini harus menjadi persyaratan petugas-petugas tersebut dapat bekerja di lapangan. Seperti layaknya pramugari/pramugara, mungkin pemberian wawasan tersebut merupakan tanggung jawab maskapai penerbangan. Tapi untuk transjakarta dan kereta, menurut saya ini adalah tanggung jawab pemerintah.  Dalam pemberian wawasan kepada masyarakat, saya menyarankan Kementerian Kesehatan RI membuat iklan televisi yang berisi tentang hal-hal mengenai P3K yang harus dilakukan ketika hal darurat terjadi, seperti pemberian napas buatan, dan pertolongan pertama pada orang yang pingsan, tersedak, luka parah dan lain-lain. Dengan iklan televisi, saya kira masyarakat akan 'terpaksa' melihat atau setidaknya mendengar. Jika dilihat atau didengar berulang-ulang, wawasan tersebut diharapkan dapat tertanam di pikiran masyarakat.  Kepada Kementerian Perhubungan, saya menyarankan adanya satu buku panduan P3K di setiap bus transjakarta, dan di setiap gerbong kereta api yang dapat dijadikan pedoman jika ada keadaan darutan terjadi.  Demikian yang ingin saya sampaikan, semoga kejadian tersebut dapat menjadi evaluasi dan dapat menjadi pertimbangan dan dapat direalisasikan bagi pemerintah dan pejabat yang berwenang, dengan harapan dapat mencegah adanya korban.  Terima kasih.",Badan Layanan Umum Transjakarta
"Jalan raya brantas,dsn pagendingan ds tapen,kec kudu,kab jombang (61454). sebagai sarana jalan alternatif menghubungkan mojokerto,lamongan,nganjuk.
pada bulan terakhir petugas hanya memberi tanda diarea yang berlubang.tetapi tidak ada tindakan selama 3minggu terakhir.tiap hari memakan korban kecelakaan baik luka parah atau ringan.",Dinas Pekerjaan Umum dan Penataan Ruang Kab. Jombang
"BHW ADA DIDUGA PELANGGARAN HAM DIRUTAN SALEMBA THP 3 NAPI YG JD KORBAN YG MENGALAMI LUKA PARAH, PATAH TULANG DAN MUNTAH DARAH DAN LEBAM2 AKIBAT PERBUATAN OKNUM BUDI CS (+25 ORG) PENGANIAYAAN SECARA BRUTAL,KEJI DAN TDK MANUSIAWI/MELANGGAR HAM RI DAN TANPA PENGOCTAN APAPUN PD TGL.19/2/15. MHN DITINDAk",Direktorat Jenderal Pemasyarakatan
"Kepada Yth Pemprov DKI Jakarta beserta instansi yang terkait, saya ingin melaporkan kalau selama ini di lampu merah Kembangan, tepatnya di pintu keluar Tol Tangerang-Jakarta menuju arah Kembangan dan Rawa Buaya banyak terdapat anak jalanan yang mengganggu keamanan serta kenyamanan karena sering memalak pengemudi truk yang melintas di sana dan juga memalak pedagang yang berjualan di lokasi tersebut. Yang mengherankan adalah jumlah mereka makin banyak dari hari ke hari. Bahkan yang memprihatinkan adalah adanya anak jalanan berjenis kelamin perempuan dan wanita. Sebagian besar dari anak-anak jalanan tersebut rata-rata berwajah mabuk, bertato serta bergaya ""punk"". Tidak jarang pula ada anak jalanan yang hidupnya terlihat berkecukupan, karena mempunyai kendaraan sepeda motor pribadi, bahkan yang keluaran terbaru seperti yamaha mio, yamaha jupiter, dan lain-lain yang tahun pembuatannya di atas tahun 2010. Pernah suatu ketika saya melihat salah satu dari kumpulan anak-anak jalanan tersebut memukul seorang pengemudi truk yang melintas di lokasi tersebut dengan menggunakan balok kayu ukuran sedang. Tapi untunglah pengemudi truk tersebut tidak sampai terluka parah ataupun kendaraannya mengalami kerusakan parah. Yang mengherankan adalah waktu terjadinya peristiwa pemukulan tersebut, polisi lalu lintas atau polantas yang saat itu bertugas di lokasi tersebut mendiamkan saja kejadian tersebut tanpa melakukan tindakan penanganan sama sekali. Selama ini pos Polisi yang ada di lokasi tersebut, terlihat cenderung seperti sudah lama tak berpenghuni, meskipun di depannya selalu terparkir 1 unit mobil dan sepeda motor polisi. Karena minimnya jumlah polisi ataupun polantas yang bertugas di lokasi tersebut., terutama menjelang malam hari. Mohon diperiksa apakah anak-anak jalanan itu digerakkan oleh suatu sindikat anak jalanan yang terselubung dan juga mohon dilakukan penertiban. Bahkan penertiban dan razia secara berkala terhadap keberadaan anak-anak jalanan tersebut karena lokasi tersebut sangat rawan tindakan kriminalitas serta dilakukannya patroli kepolisian terhadap lokasi tersebut, terutama pada malam hari. Mohon tindak lanjutnya. Terima kasih.",Dinas Sosial
